Category,ASIN,Price,Web Hierarchy,,UPC,"_Title (Brand name then item title, total 120 characters, exclude final words like the and and do not end abruptly)","_Short_Description max 500 characters (Brand name, then full item title, then bullets of Technical Details",_Brand_Name (18 character max),_Seller_Image_URL (Seperated by |)
Electric Knives,B00004WKI3,48.98,Kitchen Knives,,8.02E+11,Cuisinart CEK-40C Electric Knife,"Cuisinart CEK-40C Electric Knife
•	Band- Cuisinart
•	Model Number- CEK40
•	Colour- Black/Natural",Cuisinart,https://images-na.ssl-images-amazon.com/images/I/719VuyhEdlL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51aRzFH2goL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71VCdEXacOL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71o2u9aZJ5L._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71NOKEsdvBL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71PgjCKQHgL._SL1200_.jpg
Electric Knives,B06XPF6M8J,36.98,Kitchen Knives,,68459170064,"CUISINART CEK-30C Electric Knife, Black","CUISINART CEK-30C Electric Knife, Black
•	Brand- Cuisinart
•	Model Number- CEK-30C
•	Colour- Black",CUISINART,https://images-na.ssl-images-amazon.com/images/I/5197dSpBV4L._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51OnIWsKOXL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51O4-cCyXTL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51or-dAWomL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51vdLyLBpkL._SL1200_.jpg
Electric Knives,B00065XWO0,31.44,Kitchen Knives,,,Hamilton-Beach Electric Carving Knife with Case - 74275RC,"Hamilton-Beach Electric Carving Knife with Case - 74275RC
•	Brand- Hamilton Beach
•	Model Number- 74275
•	Colour- Black",Hamilton Beach,
Electric Knives,B01K1JJAI2,32.57,Kitchen Knives,,,,,,
Electric Knives,B07F9XY5SV,21.98,Kitchen Knives,,,,,,
Electric Knives,B07DRM9YXL,39.99,Kitchen Knives,,,,,,
Electric Knives,B00F5EK3CG,82.05,Kitchen Knives,,,,,,
Electric Knives,B00GMH7UW6,46.37,Kitchen Knives,,,,,,
Electric Knives,B002DUCCDI,25,Kitchen Knives,,,,,,
Electric Knives,B001NXCFT2,79,Kitchen Knives,,,,,,
Electric Knives,B001NXC7S6,74.24,Kitchen Knives,,,,,,
Electric Knives,B002L9DHLW,24.66,Kitchen Knives,,,,,,
,,,,,,,,,
Knife Sharpeners,B07B9LZYY7,29.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B008AF0Y80,80.62,Knife Sharpeners,,,,,,
Knife Sharpeners,B00006IUWM,50.73,Knife Sharpeners,,,,,,
Knife Sharpeners,B0039SLUI6,50.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B07765Z1PN,66.17,Knife Sharpeners,,,,,,
Knife Sharpeners,B000TYBWJ0,89.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B0017KS9Z0,33,Knife Sharpeners,,,,,,
Knife Sharpeners,B0759TR3BT,27.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B01M7XVH5E,19.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B07198FCHY,58.28,Knife Sharpeners,,,,,,
Knife Sharpeners,B00V5EKMZI,24.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B007MHEYW4,65.36,Knife Sharpeners,,,,,,
Knife Sharpeners,B0039SLUHM,43.16,Knife Sharpeners,,,,,,
Knife Sharpeners,B00FRETBH2,53.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B001CQTLJM,9.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B004NOWRIW,39,Knife Sharpeners,,,,,,
Knife Sharpeners,B01FXK7XF6,28.99,Knife Sharpeners,,,,,,
,,,,,,,,,
Kitchen Knives - Individual Pieces,B072K2HDKS,54.99,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B000638D32,44.99,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07DN4HLBG,23.26,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07M6F3H3N,24.99,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07BFV757Z,29.99,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07D58P41W,38.95,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B01GL4C4WK,38.95,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07B53KDRB,143.24,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B0768MNJJM,68.8,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07D9WGXWC,24.69,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07PVJK34F,29.99,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B0019WQI04,36.4,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07CS9KX5Z,17.99,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B0776VTTRD,119.95,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07FVJW6GZ,129.99,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07G73WCVS,119.99,Kitchen Knives,,,,,,
,,,,,,,,,
Kitchen Knife Sets,B01D8FN4CY,15.89,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B005LRYP2Q,54.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B01N4WVXS6,36.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B00R3Z49G6,33,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B00LLZYG1W,59.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B07D3PFM83,41.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B07D3PP33X,65.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B07F7QCNKL,56.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B005LRYQ2A,44.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B01H5NLYZ4,83.38,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B00R3Z46JQ,59,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B07C285YKG,24.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B00R3Z4CWC,27.42,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B017DTFTCY,39.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B071VQJDC3,79.95,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B07JZ746V6,39.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B007RWD11Y,51.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B078HRF45S,30.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B01LWYD17P,54,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B07HY383VZ,27.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B00LLZYGAS,22.98,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B013HY0WZS,35.99,Kitchen Knife Sets,,,,,,
Kitchen Knife Sets,B01M7WZ910,24.95,Kitchen Knife Sets,,,,,,
,,,,,,,,,
Knife Storage,B016CPNK9E,24.99,Knife Blocks & Storage,,,,,,
Knife Storage,B07K2VPWYB,22.99,Knife Blocks & Storage,,,,,,
Knife Storage,B07K33G6LS,93.74,Knife Blocks & Storage,,,,,,
Knife Storage,B07HJ5Y5TP,22.99,Knife Blocks & Storage,,,,,,
Knife Storage,B01M4OE6M6,30.85,Knife Blocks & Storage,,,,,,
Knife Storage,B0721TPPZY,24.99,Knife Blocks & Storage,,,,,,
Knife Storage,B013SLOYT0,21.99,Knife Blocks & Storage,,,,,,
Knife Storage,B074X7T2JV,15.99,Knife Blocks & Storage,,,,,,
Knife Storage,B01A6VTINM,22.27,Knife Blocks & Storage,,,,,,
Knife Storage,B00V0EUBAO,20,Knife Blocks & Storage,,,,,,
Knife Storage,B00DHH0LRA,52.08,Knife Blocks & Storage,,,,,,
Knife Storage,B00W0WYWDW,40.58,Knife Blocks & Storage,,,,,,
Knife Storage,B07F8PYNSK,20.95,Knife Blocks & Storage,,,,,,
Knife Storage,B07KWPGQJS,29.99,Knife Blocks & Storage,,,,,,
Knife Storage,B07MMVKJ5J,69.99,Knife Blocks & Storage,,,,,,
Knife Storage,B073S5WYT3,19.88,Knife Blocks & Storage,,,,,,
Knife Storage,B00DHH0LX4,42.98,Knife Blocks & Storage,,,,,,
Knife Storage,B00OH881WU,52,Knife Blocks & Storage,,,,,,
Knife Storage,B01N4WVXS6,35.99,Knife Blocks & Storage,,,,,,
Knife Storage,B010VBHRQM,35.46,Knife Blocks & Storage,,,,,,
Knife Storage,B076HLYRM3,37.99,Knife Blocks & Storage,,,,,,
Knife Storage,B07H9FL4VG,240.27,Knife Blocks & Storage,,,,,,
Knife Storage,B01FGD7CFG,39.99,Knife Blocks & Storage,,,,,,
Knife Storage,B077GTRN8R,19.2,Knife Blocks & Storage,,,,,,
Knife Storage,B07H92HB7V,26.88,Knife Blocks & Storage,,,,,,
Knife Storage,B0009K94NU,130.24,Knife Blocks & Storage,,,,,,
,,,,,,,,,
Binding Machines,B079L4W8MX,59.99,Binding Machines,,,,,,
Binding Machines,B00OILZJW6,79.99,Binding Machines,,,,,,
Binding Machines,B002M7U04U,161.98,Binding Machines,,,,,,
Binding Machines,B00006IAS3,130.52,Binding Machines,,,,,,
Binding Machines,B002QKCD52,98.94,Binding Machines,,,,,,
Binding Machines,B01L6EEB5I,48.99,Binding Machines,,,,,,
Binding Machines,B008WJYMTQ,132.47,Binding Machines,,,,,,
,,,,,,,,,
Baby Toys,B0033UX0BU,74.99,Play Kitchens,,,,,,
Baby Toys,B001QXDIX6,69.86,Play Kitchens,,,,,,
Baby Toys,B0030HBVG2,149.99,Play Kitchens,,,,,,
Baby Toys,B0000BX8MA,24.52,Play Kitchens,,,,,,
Baby Toys,B00UMSW27O,107.6,Play Kitchens,,,,,,
Baby Toys,B07G93C4QF,26.99,Play Kitchens,,,,,,
Baby Toys,B07CTVZWH4,71.42,Play Kitchens,,,,,,
Baby Toys,B07P6YR2QZ,38.99,Play Kitchens,,,,,,
Baby Toys,B07J6PVHZ9,46.99,Play Kitchens,,,,,,
Baby Toys,B00XHPCTA4,149.93,Play Kitchens,,,,,,
Baby Toys,B07JLGZ8FV,39.99,Play Kitchens,,,,,,
Baby Toys,B00TYO6WHI,19.18,Play Kitchens,,,,,,
Baby Toys,B07L3V2RTB,19.99,Play Kitchens,,,,,,
Baby Toys,B01KO0REEA,24.99,Play Kitchens,,,,,,
Baby Toys,B01HL661FI,19.99,Play Kitchens,,,,,,
Baby Toys,B01B1UWB68,39.99,Play Kitchens,,,,,,
Baby Toys,B00JLGGH2Y,39.99,Play Kitchens,,,,,,
Baby Toys,B01N2TXRRG,39.98,Play Kitchens,,,,,,
Baby Toys,B07JJFKT2S,19.99,Play Kitchens,,,,,,
Baby Toys,B01N6U6C7F,25.94,Play Kitchens,,,,,,
Baby Toys,B01N6PR5D2,79.94,Play Kitchens,,,,,,
Baby Toys,B000062SRQ,58,Play Kitchens,,,,,,
Baby Toys,B01BLV3RX8,59.32,Play Kitchens,,,,,,
Baby Toys,B06XX7QCYN,39.95,Play Kitchens,,,,,,
Baby Toys,B07GBVYJ9S,32.98,Play Kitchens,,,,,,
Baby Toys,B06XCC9BYR,25.99,Play Kitchens,,,,,,
Baby Toys,B07GFDMVRK,89.97,Play Kitchens,,,,,,
Baby Toys,B01NBXZGVP,19.95,Play Kitchens,,,,,,
,,,,,,,,,
Baby Toys,B00272N8NA,26.64,Puppets,,,,,,
Baby Toys,B00U3GA97K,24.95,Puppets,,,,,,
Baby Toys,B00TO6FJYS,24.99,Puppets,,,,,,
Baby Toys,B000AD0ZCU,24.99,Puppets,,,,,,
Baby Toys,B071GPMY4J,24.99,Puppets,,,,,,
Baby Toys,B00ND5XYFM,46.48,Puppets,,,,,,
Baby Toys,B00272N8N0,32.52,Puppets,,,,,,
Baby Toys,B00Y8YOVJ0,22.96,Puppets,,,,,,
Baby Toys,B00TO6LBWW,23.99,Puppets,,,,,,
Baby Toys,B00272N8YO,26.99,Puppets,,,,,,
Baby Toys,B01MG81X27,19.94,Puppets,,,,,,
Baby Toys,B0029MKEOO,87.99,Puppets,,,,,,
Baby Toys,B071CQS8KN,14.99,Puppets,,,,,,
Baby Toys,B0006OIG4C,13,Puppets,,,,,,
Baby Toys,B0065D38I2,35.31,Puppets,,,,,,
Baby Toys,B01MD1ABXN,30.75,Puppets,,,,,,
Baby Toys,B004KPKWI6,32.43,Puppets,,,,,,
Baby Toys,B00KWI5YB0,26.99,Puppets,,,,,,
Baby Toys,B0136914L0,9.99,Puppets,,,,,,
Baby Toys,B0007QO7G0,47,Puppets,,,,,,
Baby Toys,B00272N8NK,37.91,Puppets,,,,,,
Baby Toys,B01B1UOQ1G,24.99,Puppets,,,,,,
Baby Toys,B0006TPCSA,26,Puppets,,,,,,
Baby Toys,B019FAUPT6,24.95,Puppets,,,,,,
Baby Toys,B001PJXGLA,13,Puppets,,,,,,
Baby Toys,B005YVN4QM,25.99,Puppets,,,,,,
Baby Toys,B00000K1XI,31.85,Puppets,,,,,,
Baby Toys,B00JBIY0MG,28.22,Puppets,,,,,,
Baby Toys,B00000MHKY,37.23,Puppets,,,,,,
Baby Toys,B003ZK9436,13,Puppets,,,,,,
Baby Toys,B002DWAVP2,25.85,Puppets,,,,,,
Baby Toys,B0026ZPSV8,24.99,Puppets,,,,,,
Baby Toys,B019FAUI3O,24.99,Puppets,,,,,,
Baby Toys,B004FRXQ0K,103.99,Puppets,,,,,,
Baby Toys,B0006OGHVG,36.13,Puppets,,,,,,
Baby Toys,B0026ZPSK4,37.19,Puppets,,,,,,
Baby Toys,B00KWHCBI0,22.84,Puppets,,,,,,
Baby Toys,B0168A5S7K,24.99,Puppets,,,,,,
Baby Toys,B000AD5AXY,26.94,Puppets,,,,,,
Baby Toys,B00000PQHL,29.99,Puppets,,,,,,
Baby Toys,B001M5LF6U,18,Puppets,,,,,,
Baby Toys,B07997DLK2,29.68,Puppets,,,,,,
Baby Toys,B075NV8YBK,4.74,Puppets,,,,,,
Baby Toys,B00000K5F9,39.93,Puppets,,,,,,
Baby Toys,B01HNTGF40,14.99,Puppets,,,,,,
,,,,,,,,,
Baby Toys,B079NSRCR9,79.99,Playmats,,,,,,
Baby Toys,B016PGOXI2,27.13,Playmats,,,,,,
Baby Toys,B00SHYJ0G6,79.99,Playmats,,,,,,
Baby Toys,B00BINDZ7I,33.99,Playmats,,,,,,
Baby Toys,B009FT2I2A,45.99,Playmats,,,,,,
Baby Toys,B01MSZ54VH,18.47,Playmats,,,,,,
Baby Toys,B005V09DXY,33.99,Playmats,,,,,,
Baby Toys,B01MS92ROR,84.99,Playmats,,,,,,
Baby Toys,B003ZYEDDS,39.99,Playmats,,,,,,
Baby Toys,B071KLHBM8,29.99,Playmats,,,,,,
Baby Toys,B01G1JQXMW,93.49,Playmats,,,,,,
Baby Toys,B00MYRXO4G,34.99,Playmats,,,,,,
Baby Toys,B00P9FJVAG,23.55,Playmats,,,,,,
Baby Toys,B017B69PTW,57,Playmats,,,,,,
Baby Toys,B0734RXHGK,79.97,Playmats,,,,,,
Baby Toys,B0783RVL45,36.47,Playmats,,,,,,
Baby Toys,B0752C6XMS,38.99,Playmats,,,,,,
Baby Toys,B076LRNSYQ,24.99,Playmats,,,,,,
Baby Toys,B01N6QF8R8,45.99,Playmats,,,,,,
Baby Toys,B077SQ899K,55.99,Playmats,,,,,,
Baby Toys,B0744WHQY1,89.99,Playmats,,,,,,
Baby Toys,B01N9R8WZR,51.59,Playmats,,,,,,
Baby Toys,B0774DFQYT,23.99,Playmats,,,,,,
Baby Toys,B0771K9TFM,79.97,Playmats,,,,,,
Baby Toys,B07B3N4Q9Q,34.99,Playmats,,,,,,
Baby Toys,B073R2FBWY,51.99,Playmats,,,,,,
Baby Toys,B077MH6KH4,29.99,Playmats,,,,,,
Baby Toys,B072NDKYGN,39.99,Playmats,,,,,,
Baby Toys,B0728P8NXL,89.99,Playmats,,,,,,
Baby Toys,B004075284,50.99,Playmats,,,,,,
Baby Toys,B071RD3PPD,58.99,Playmats,,,,,,
,,,,,,,,,
"Figurines, Dolls & Plush Toys",B011EI9RJG,102.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B0117QBSDS,54.59,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B00J1XE7B0,24.95,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B000067BID,65.01,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B004CT5GOU,169.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B00HWHNVYQ,159.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B07DR11T6S,54.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B00FAN8AFO,169.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B002BH3KMA,19.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B00713P9SC,22.09,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B07DVVXHBD,73.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B07G9HTCGF,34.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B002BIOP9G,59.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B074QSXRWQ,18.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B006WZO7HE,26,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B002GB65GO,29.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B00712NSTA,26,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B00712O3XU,23.56,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B07FB7Q8YH,54.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B0071BFMDQ,22.5,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B076ZPYRHX,49,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B078V76RKH,28.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B077XMW368,24.99,Dolls & Dollhouses,,,,,,
"Figurines, Dolls & Plush Toys",B00712O4XE,26,Dolls & Dollhouses,,,,,,
